"","subject_idx","response","rt","response_key","zConf","strength_corr","strenght_chosen"
"209",1232,1,1.11903885528,"right",-1.54095428725745,0.472716937998525,0.472716937998525
"210",1232,1,1.23627628957,"right",-1.25394728031815,0.280377918227902,0.280377918227902
"211",1232,1,1.83674341314,"left",0.468094761317672,-0.210811607051154,-0.210811607051154
"212",1232,1,2.27124797827,"right",0.14008675338704,-0.181813599727325,-0.181813599727325
"213",1232,1,2.50497104585,"right",-0.187921254543592,0.208261561696396,0.208261561696396
"214",1232,1,1.35280089249,"right",0.509095762309001,-0.100706724902453,-0.100706724902453
"215",1232,1,0.935385790819,"right",1.16511177817026,-0.081998790971219,-0.081998790971219
"216",1232,1,1.31946052376,"right",0.304090757352356,0.166862551413827,0.166862551413827
"217",1232,1,2.08753176594,"left",-1.25394728031814,-0.00227416580586412,-0.00227416580586412
"218",1232,1,0.902001901262,"left",-0.0649182515696048,0.0203231024276308,0.0203231024276308
"219",1232,1,1.11906360242,"right",0.0580847514043822,0.200001363645661,0.200001363645661
"220",1232,1,0.768439320302,"left",0.386092759335014,-0.235412955681415,-0.235412955681415
"221",1232,1,0.885780578787,"right",0.796102769248303,0.310811541320359,0.310811541320359
"222",1232,1,1.10248017527,"left",0.222088755369698,0.178350657081368,0.178350657081368
"223",1232,1,1.20254537118,"right",0.796102769248303,0.302975231301262,0.302975231301262
"224",1232,1,0.718349974599,"right",1.16511177817026,0.0429739624319978,0.0429739624319978
"225",1232,1,1.5531696533,"left",0.632098765282988,-0.219731809365775,-0.219731809365775
"226",1232,1,1.06896600767,"left",0.468094761317672,0.124298557369952,0.124298557369952
"227",1232,1,0.718346845651,"left",1.16511177817027,-0.384650393579652,-0.384650393579652
"228",1232,1,1.46968560894,"left",-1.37695028329213,-0.335997436283538,-0.335997436283538
"229",1232,1,0.785048347944,"left",1.16511177817027,0.0073448524918051,0.0073448524918051
"230",1232,1,0.751655924892,"right",-0.351925258508908,0.101485274419709,0.101485274419709
"231",1232,1,3.02318408628,"right",-1.54095428725745,0.037152230515255,0.037152230515255
"232",1232,1,1.23642278125,"left",-1.45895228527479,0.0202025416394637,0.0202025416394637
"233",1232,1,2.63912186913,"right",-0.884938271396184,-0.0278127685088774,-0.0278127685088774
"234",1232,1,2.68865568425,"left",-0.146920253552263,-0.180211969096827,-0.180211969096827
"235",1232,1,2.37145596801,"left",-0.392926259500236,-0.0317087035243589,-0.0317087035243589
"236",1232,1,2.60516936429,"right",-0.556930263465552,-0.0957270337484097,-0.0957270337484097
"237",2261,1,1.66997885426,"right",-0.755324498196468,-8.2525307079936e-05,-8.2525307079936e-05
"238",2261,1,1.13571217675,"right",0.761979339590269,-0.0665596570221233,-0.0665596570221233
"239",2261,1,1.23580371157,"right",-1.15461498182456,-0.0308255809470304,-0.0308255809470304
"240",2261,0,1.28596866198,"left",0.242901710873754,-0.0484742898738338,0.0484742898738338
"241",2261,1,1.13561830947,"right",0.602263146139034,-0.0526624316596681,-0.0526624316596681
"242",2261,1,1.26927337054,"right",0.72205029122746,-0.28158752265218,-0.28158752265218
"243",2261,1,1.20279457117,"right",0.482476001050607,-0.149068851580069,-0.149068851580069
"244",2261,0,1.33603490953,"left",1.28105696830678,0.154062814268984,-0.154062814268984
